"Molecule ChEMBL ID","Smiles","pIC50"
"CHEMBL236186","CC[C@@H]1CCC[C@@H](N1S(=O)(=O)c2ccc(F)cc2)C3(CC3)OC(=O)N4CC5CCC(C4)N5CCO","7.602059991"
"CHEMBL238271","CCCC1(O)CCN(C1)C(=O)OC2(CC2)[C@H]3CCC[C@@H](CC)N3S(=O)(=O)c4ccc(Cl)cc4","7.552841969"
"CHEMBL196947","OC(=O)C1(CC1)c2ccc(c(F)c2)c3ccc(cc3)c4ccc(O)cc4","3.388276692"
"CHEMBL245688","COc1cc(\C=C\c2cc(Br)cc(\C=C\c3ccc(O)c(OC)c3)c2)ccc1O","7"
"CHEMBL245476","COc1ccc(\C=C\c2cc(Br)cc(\C=C\c3ccc(OC)c(OC)c3)c2)cc1OC","4.698970004"
"CHEMBL396917","COc1cc(\C=C\c2cc(Br)cc(\C=C\c3ccc(N)c(OC)c3)c2)ccc1N","5.744727495"
"CHEMBL247328","COc1cc(\C=C\c2cccc(\C=C\c3ccc(O)c(OC)c3)n2)ccc1O","6.096910013"
"CHEMBL247927","CN(C)c1ccc(\C=C\c2cccc(\C=C\c3ccc(N(C)C)c(O)c3)n2)cc1O","6.045757491"
"CHEMBL3741529","C[C@@H]1C[C@@]23C[C@H]4C(C)(C)[C@@]5(C[C@]4(CN2C1=O)N(C)C3=O)C(=O)Nc6cc7OC=CC(C)(C)Oc7cc56","3.522878745"
"CHEMBL3330739","O=Cc1ccc(s1)c2ccc(s2)c3ccc(cc3)N(c4ccccc4)c5ccccc5","5.148741651"
